player_id,year,team_id,league_id,level_id,split_id,position,tc,a,po,er,ip,g,gs,e,dp,tp,pb,sba,rto,ipf,plays,plays_base,roe,opps_0,opps_made_0,opps_1,opps_made_1,opps_2,opps_made_2,opps_3,opps_made_3,opps_4,opps_made_4,opps_5,opps_made_5,zr
10,2022,1,100,1,0,1,14,8,6,0,86,55,0,0,0,0,0,0,0,1,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.4428
10,2023,1,100,1,0,1,9,8,1,0,73,57,0,0,0,0,0,0,0,2,8,7,0,1,1,2,2,1,1,0,0,0,0,0,0,0.4233
10,2024,1,100,1,0,1,14,9,3,0,113,47,10,2,0,0,0,0,0,0,11,11,2,6,4,3,3,1,1,0,0,0,0,0,0,-1.4085
10,2025,25,100,1,0,1,33,26,4,0,159,25,25,3,1,0,0,0,0,1,30,30,3,19,16,5,4,3,3,0,0,0,0,0,0,-1.1798
10,2026,2,100,1,0,1,29,26,3,0,161,25,25,0,0,0,0,0,0,2,24,23,0,16,15,5,4,3,3,0,0,0,0,0,0,-0.3239
11,2021,11,100,1,0,1,3,3,0,0,14,7,1,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0247
11,2021,18,101,6,0,1,16,11,4,0,78,39,0,1,1,0,0,0,0,2,13,12,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.5274
11,2022,11,100,1,0,1,6,5,1,0,53,37,0,0,0,0,0,0,0,2,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.2805
11,2023,11,100,1,0,1,20,17,3,0,166,25,25,0,0,0,0,0,0,1,16,16,0,10,9,5,2,1,1,0,0,0,0,0,0,-0.5801
11,2024,11,100,1,0,1,28,21,5,0,137,37,16,2,1,0,0,0,0,2,23,23,2,13,12,6,4,1,1,0,0,0,0,0,0,-1.3802
11,2025,1,100,1,0,1,29,24,5,0,148,25,25,0,1,0,0,0,0,2,26,26,0,15,15,9,8,2,2,0,0,0,0,0,0,0.3347
11,2026,1,100,1,0,1,23,17,6,0,149,25,25,0,2,0,0,0,0,2,16,15,0,8,7,3,3,4,4,0,0,0,0,0,0,-0.1777
12,2021,10,100,1,0,1,4,3,1,0,43,32,0,0,0,0,0,0,0,1,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4122
12,2022,10,100,1,0,1,10,6,4,0,76,39,0,0,1,0,0,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.3979
12,2023,10,100,1,0,1,6,6,0,0,54,50,0,0,1,0,0,0,0,0,5,5,0,1,1,0,0,1,1,0,0,0,0,0,0,0.0692
12,2024,10,100,1,0,1,29,20,8,0,149,24,24,1,1,0,0,0,0,0,24,23,1,13,12,8,6,1,1,0,0,0,0,0,0,-0.8436
12,2025,10,100,1,0,1,24,15,8,0,161,25,25,1,2,0,0,0,0,0,17,17,1,10,9,3,2,3,3,0,0,0,0,0,0,-0.6840
12,2026,10,100,1,0,1,24,21,3,0,184,25,25,0,0,0,0,0,0,1,20,20,0,12,12,3,3,0,0,0,0,0,0,0,0,-0.6623
12,2027,10,100,1,0,1,24,15,8,0,174,25,25,1,2,0,0,0,0,1,17,17,0,9,7,4,3,3,3,0,0,0,0,0,0,-1.0686
12,2028,10,100,1,0,1,4,2,2,0,15,2,2,0,0,0,0,0,0,0,2,2,0,2,2,0,0,0,0,0,0,0,0,0,0,-0.1218
13,2021,18,101,6,0,3,219,16,198,0,174,19,19,5,24,0,0,0,0,2,57,59,4,0,0,0,0,0,0,0,0,0,0,0,0,-1.5708
13,2022,9,100,1,0,3,3,0,3,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000
13,2022,9,100,1,0,5,2,2,0,0,2,2,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0239
13,2025,24,100,1,0,5,198,153,38,0,902,100,100,7,17,0,0,0,0,2,167,170,7,140,130,23,17,23,9,13,0,8,1,6,0,-1.4909
13,2026,3,100,1,0,3,549,22,526,0,540,62,62,1,54,0,0,0,0,1,82,80,1,66,64,14,12,9,4,5,2,2,0,7,0,1.4178
13,2026,3,100,1,0,5,77,62,15,0,340,38,38,0,4,0,0,0,0,2,64,65,0,61,60,4,4,7,3,6,0,4,0,6,0,1.4752
14,2021,1,100,1,0,2,610,30,575,440,815,90,90,5,13,0,3,87,22,2,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.7486
14,2022,1,100,1,0,2,387,24,356,197,409,46,46,7,0,0,3,63,14,1,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,-0.9857
14,2023,1,100,1,0,2,466,36,427,284,486,56,56,3,0,0,3,65,18,1,6,6,0,4,4,3,3,5,5,0,0,0,0,0,0,0.0716
14,2024,1,100,1,0,2,513,33,479,232,522,59,59,1,4,0,3,46,9,1,10,10,1,11,11,2,1,6,6,0,0,0,0,0,0,0.8110
14,2025,24,100,1,0,2,970,42,920,298,855,95,95,8,0,0,6,42,7,2,8,8,4,11,9,3,3,3,3,0,0,0,0,0,0,-1.3289
14,2025,24,100,1,0,3,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000
14,2026,24,100,1,0,2,1051,37,1010,270,850,95,92,4,2,0,4,41,10,0,13,12,2,7,7,3,3,9,8,0,0,0,0,0,0,1.7718
14,2027,24,100,1,0,2,895,47,841,325,747,83,83,7,2,0,5,64,17,0,12,12,1,13,13,1,1,6,5,0,0,0,0,0,0,1.9226
14,2028,24,100,1,0,2,88,5,83,16,71,8,8,0,0,0,0,2,0,0,2,2,0,1,1,0,0,0,0,0,0,0,0,0,0,-0.0198
15,2021,10,100,1,0,9,102,5,96,0,441,50,50,1,0,0,0,0,0,2,94,103,1,0,0,0,0,0,0,0,0,0,0,0,0,-6.8417
15,2022,10,100,1,0,7,201,4,191,0,892,100,100,6,1,0,0,0,0,2,181,175,1,0,0,0,0,0,0,0,0,0,0,0,0,0.6095
15,2023,10,100,1,0,9,206,5,197,0,881,100,100,4,0,0,0,0,0,1,193,185,2,171,154,35,23,26,10,21,7,21,3,58,0,-4.7804
15,2024,10,100,1,0,9,225,5,215,0,903,100,100,5,0,0,0,0,0,2,208,194,4,162,145,45,38,21,14,13,9,23,9,50,0,4.9318
15,2025,10,100,1,0,8,296,4,290,0,896,100,100,2,1,0,0,0,0,2,292,285,2,202,199,63,50,33,21,23,15,24,5,59,0,5.0469
15,2026,10,100,1,0,8,303,10,290,0,893,100,100,3,2,0,0,0,0,0,292,282,2,189,184,76,53,43,33,23,15,20,5,55,0,4.9359
15,2027,10,100,1,0,8,255,6,247,0,904,100,100,2,1,0,0,0,0,0,249,233,2,160,158,69,54,37,23,20,11,15,1,55,0,3.6039
15,2028,10,100,1,0,8,21,0,21,0,66,7,7,0,0,0,0,0,0,0,21,20,0,11,11,7,7,3,2,2,1,1,0,1,0,1.3028
16,2021,16,101,6,0,1,30,19,8,0,169,25,25,3,2,0,0,0,0,0,21,20,3,0,0,0,0,0,0,0,0,0,0,0,0,-2.2206
16,2022,16,101,6,0,1,46,28,18,0,182,26,26,0,4,0,0,0,0,0,30,27,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.6899
16,2023,10,100,1,0,1,17,10,6,0,121,24,24,1,0,0,0,0,0,1,11,11,1,6,5,2,1,4,3,0,0,0,0,0,0,-0.4973
16,2024,11,100,1,0,1,20,13,7,0,110,16,16,0,0,0,0,0,0,1,12,12,0,3,3,4,2,3,3,0,0,0,0,0,0,-0.7128
16,2024,10,100,1,0,1,12,9,3,0,55,9,9,0,0,0,0,0,0,2,10,10,0,8,8,0,0,1,1,0,0,0,0,0,0,-0.0584
16,2025,10,100,1,0,1,23,18,5,0,156,25,25,0,0,0,0,0,0,1,17,17,0,13,12,3,1,2,2,0,0,0,0,0,0,-0.6680
16,2026,10,100,1,0,1,19,11,7,0,147,25,25,1,1,0,0,0,0,0,13,11,1,9,8,1,1,1,1,0,0,0,0,0,0,-0.5364
16,2027,10,100,1,0,1,22,18,3,0,155,25,25,1,1,0,0,0,0,1,19,19,1,9,9,6,4,2,2,0,0,0,0,0,0,-0.9132
16,2028,9,100,1,0,1,1,1,0,0,12,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3801
17,2021,1,100,1,0,1,36,19,15,0,160,26,26,2,2,0,0,0,0,2,22,22,2,0,0,0,0,0,0,0,0,0,0,0,0,-1.3264
17,2022,1,100,1,0,1,24,13,10,0,162,25,25,1,0,0,0,0,0,1,13,13,1,0,0,0,0,0,0,0,0,0,0,0,0,-1.3671
17,2023,1,100,1,0,1,25,19,6,0,144,24,24,0,0,0,0,0,0,1,18,18,0,8,8,0,0,5,5,0,0,0,0,0,0,0.4998
