game_id,league_id,home_team,away_team,attendance,date,time,game_type,played,dh,innings,runs0,runs1,hits0,hits1,errors0,errors1,winning_pitcher,losing_pitcher,save_pitcher,starter0,starter1
77,100,10,2,0,"2028-6-11",1905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,100,11,24,0,"2028-6-11",1905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,100,9,3,0,"2028-6-11",1905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,100,1,25,0,"2028-6-12",1905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,100,9,3,0,"2028-6-12",1905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,100,11,10,0,"2028-6-14",1905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,100,2,1,0,"2028-6-14",1905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,100,24,3,0,"2028-6-14",1905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,100,11,10,0,"2028-6-15",1905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,100,9,25,0,"2028-6-15",1905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,100,2,1,0,"2028-6-15",1905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,100,24,3,0,"2028-6-15",1905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,100,11,10,0,"2028-6-16",1905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,100,9,25,0,"2028-6-16",1905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,100,2,1,0,"2028-6-16",1905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,100,24,3,0,"2028-6-16",1905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,100,11,10,0,"2028-6-17",1905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,100,9,25,0,"2028-6-17",1905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,100,9,1,0,"2028-6-19",1905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,100,10,3,0,"2028-6-19",1905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,100,25,2,0,"2028-6-19",1905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,100,24,11,0,"2028-6-19",1905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,100,9,1,0,"2028-6-20",1905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,100,10,3,0,"2028-6-20",1905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
