team_id,year,league_id,sub_league_id,division_id,level_id,split_id,ab,ip,bf,tb,ha,k,rs,bb,r,er,gb,fb,pi,ipf,g,gs,w,l,s,sa,da,sh,sf,ta,hra,bk,ci,iw,wp,hp,gf,dp,qs,svo,bs,ra,cg,sho,sb,cs,hld,r9,avg,obp,slg,ops,h9,k9,hr9,bb9,cgp,fip,qsp,winp,rsg,svp,bsvp,gfp,era,pig,ws,whip,gbfbp,kbb,babip
3,2023,100,0,0,1,1,3449,910,3734,1232,812,844,356,222,350,322,887,896,14233,0,101,101,61,40,27,572,141,5,21,18,81,1,0,7,33,37,82,54,64,37,10,123,19,12,54,33,14,10.5923,0.2354,0.2872,0.3572,0.6444,8.0308,8.3473,0.8011,2.1956,0.1881,0.0000,0.6337,0.6040,3.5248,0.7297,0.2703,0.6667,3.1846,136.8558,0.0000,1.1363,0.4975,3.8018,0.2872
3,2024,100,0,0,1,1,3469,879,3990,1575,966,695,253,436,601,551,835,975,15320,2,100,100,29,71,19,623,202,12,37,16,125,4,1,13,54,35,94,87,35,28,9,250,6,4,78,27,27,14.7022,0.2785,0.3613,0.4540,0.8153,9.8833,7.1106,1.2789,4.4608,0.0600,5.3014,0.3500,0.2900,2.5300,0.6786,0.3214,0.3760,5.6374,153.2000,0.0000,1.5938,0.4613,1.5940,0.3131
3,2025,100,0,0,1,1,3434,882,3827,1439,887,653,297,328,500,462,947,930,14123,2,100,100,36,64,18,559,206,4,23,20,102,6,2,12,29,36,96,80,52,30,11,209,4,5,55,16,7,12.7557,0.2583,0.3274,0.4190,0.7464,9.0442,6.6582,1.0400,3.3444,0.0400,4.6191,0.5200,0.3600,2.9700,0.6207,0.3667,0.4593,4.7107,141.2300,0.0000,1.3765,0.5045,1.9909,0.2905
3,2026,100,0,0,1,1,3471,889,3911,1593,941,689,232,367,522,492,944,897,14960,0,100,100,37,63,19,584,202,10,30,15,140,5,1,28,35,32,100,78,30,34,14,278,0,2,61,18,30,13.5658,0.2711,0.3436,0.4589,0.8025,9.5264,6.9753,1.4173,3.7154,0.0000,5.0545,0.3000,0.3700,2.3200,0.5758,0.4118,0.3597,4.9809,149.6000,0.0000,1.4713,0.5128,1.8774,0.2998
3,2027,100,0,0,1,1,3510,883,4017,1549,990,673,267,426,596,531,926,904,15000,2,100,100,38,62,26,666,197,4,35,19,108,4,1,36,35,41,100,91,32,47,21,273,0,6,55,24,24,14.8393,0.2821,0.3632,0.4413,0.8045,10.0830,6.8544,1.1000,4.3387,0.0000,5.1217,0.3200,0.3800,2.6700,0.5532,0.4468,0.3663,5.4081,150.0000,0.0000,1.6024,0.5060,1.5798,0.3191
9,2017,100,0,1,1,0,3613,882,4056,0,1117,620,345,358,557,518,995,862,15181,2,100,100,47,53,27,839,164,0,30,14,100,3,1,6,43,54,92,124,46,41,14,175,8,2,9,9,16,15.5903,0.3092,0.3771,0.4453,0.8224,11.3894,6.3218,1.0196,3.6503,0.0800,5.0387,0.4600,0.4700,3.4500,0.6585,0.3415,0.5257,5.2817,151.8100,0.0000,1.6711,0.5358,1.7318,0.3479
9,2018,100,0,1,1,0,3695,900,4068,0,1105,599,358,322,557,514,994,955,14979,1,100,100,46,54,22,805,170,0,17,20,110,8,2,4,32,32,94,112,41,33,11,166,6,5,8,9,10,14.5846,0.2991,0.3588,0.4452,0.8040,11.0459,5.9878,1.0996,3.2188,0.0600,4.6998,0.4100,0.4600,3.5800,0.6667,0.3333,0.5663,5.1381,149.7900,0.0000,1.5850,0.5100,1.8602,0.3313
9,2019,100,0,1,1,0,3448,907,3711,0,824,764,300,211,325,294,989,840,13796,2,100,100,64,36,36,641,103,0,17,13,67,6,0,2,31,35,85,98,68,42,6,126,15,8,12,10,5,10.6096,0.2390,0.2883,0.3347,0.6230,8.1704,7.5755,0.6643,2.0922,0.1500,3.1737,0.6800,0.6400,3.0000,0.8571,0.1429,0.6746,2.9152,137.9600,0.0000,1.1403,0.5407,3.6209,0.2874
9,2020,100,0,1,1,0,3496,914,3886,0,869,912,469,304,448,428,1020,702,14640,1,100,100,61,39,25,526,191,18,21,27,125,2,0,7,41,47,92,76,48,33,6,145,8,5,12,10,8,12.0087,0.2486,0.3154,0.4259,0.7413,8.5538,8.9770,1.2304,2.9923,0.0800,0.0000,0.4800,0.6100,4.6900,0.8065,0.1818,0.6345,4.2129,144.9505,0.0000,1.2829,0.5923,3.0000,0.3000
9,2021,100,0,1,1,0,3587,925,3953,0,944,773,439,302,458,434,982,873,14903,1,100,100,61,39,25,657,177,8,19,20,90,2,3,6,41,34,96,94,49,39,14,167,4,7,68,26,8,12.4496,0.2632,0.3247,0.3989,0.7236,9.1816,7.5184,0.8754,2.9373,0.0400,4.0222,0.4900,0.6100,4.3900,0.6410,0.3590,0.5749,4.2212,149.0300,0.0000,1.3465,0.5294,2.5596,0.3113
9,2022,100,0,1,1,0,3350,895,3710,0,775,775,413,300,374,349,1028,768,14057,2,100,100,63,37,33,510,128,6,23,21,116,3,3,7,30,28,94,79,62,43,7,146,6,3,69,13,6,11.0834,0.2313,0.2980,0.3860,0.6840,7.7875,7.7875,1.1656,3.0145,0.0600,4.3391,0.6200,0.6300,4.1300,0.8250,0.1628,0.6438,3.5069,140.5700,0.0000,1.2002,0.5724,2.5833,0.2655
9,2023,100,0,1,1,1,3373,893,3684,1271,794,833,449,248,394,367,871,864,13988,1,101,101,62,39,25,535,143,8,19,14,102,0,1,3,32,35,99,66,63,37,12,233,2,7,65,29,24,10.8504,0.2354,0.2931,0.3768,0.6699,7.9993,8.3922,1.0276,2.4985,0.0198,0.0000,0.6238,0.6139,4.4455,0.6757,0.3243,0.4249,3.6974,134.5000,0.0000,1.1664,0.5020,3.3589,0.2816
9,2024,100,0,1,1,1,3368,891,3700,1321,807,978,382,267,403,395,855,735,14412,0,100,100,65,35,30,529,153,10,22,14,111,0,1,1,23,32,97,79,53,36,5,226,3,8,69,12,34,11.1717,0.2396,0.2998,0.3922,0.6920,8.1515,9.8788,1.1212,2.6970,0.0300,3.9000,0.5300,0.6500,3.8200,0.8571,0.1389,0.4292,3.9899,144.1200,0.0000,1.2054,0.5377,3.6629,0.3025
9,2025,100,0,1,1,1,3386,897,3703,1357,816,878,413,259,397,377,857,820,14174,0,100,100,59,41,22,517,171,1,20,14,114,3,0,2,36,37,98,94,65,34,10,234,2,7,56,20,29,11.1572,0.2410,0.3004,0.4008,0.7011,8.1873,8.8094,1.1438,2.5987,0.0200,4.0778,0.6500,0.5900,4.1300,0.6875,0.2941,0.4188,3.7826,141.7400,0.0000,1.1984,0.5110,3.3900,0.2908
