player_id,year,team_id,game_id,league_id,level_id,split_id,position,ab,h,k,pa,pitches_seen,g,gs,d,t,hr,r,rbi,sb,cs,bb,ibb,gdp,sh,sf,hp,ci,wpa,stint,war
425,2029,3,0,100,1,2,0,39,7,14,39,0,16,10,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0.0000,0,0.0000
427,2025,16,0,101,6,21,0,13,7,0,14,48,3,3,1,0,1,2,3,1,3,1,0,0,0,0,0,0,0.2742,0,0.0000
427,2025,16,0,101,6,1,0,431,130,61,495,1782,101,101,3,0,8,72,51,46,12,44,0,6,0,4,16,0,2.4802,0,2.3931
427,2025,16,0,101,6,3,0,254,68,33,294,0,82,62,1,0,5,46,24,0,0,28,0,2,0,3,9,0,0.0000,0,0.0000
427,2025,16,0,101,6,2,0,177,62,28,201,0,67,39,2,0,3,26,27,0,0,16,0,4,0,1,7,0,0.0000,0,0.0000
427,2026,25,0,100,1,1,0,402,87,117,431,1602,100,100,8,0,8,32,21,25,9,16,0,3,0,2,11,0,-1.4380,0,-0.9821
427,2026,25,0,100,1,2,0,212,50,64,230,0,71,53,6,0,5,15,13,0,0,9,0,1,0,2,7,0,0.0000,0,0.0000
427,2026,25,0,100,1,3,0,190,37,53,201,0,63,47,2,0,3,17,8,0,0,7,0,2,0,0,4,0,0.0000,0,0.0000
427,2027,25,0,100,1,2,0,214,47,43,233,0,74,60,1,0,1,20,14,0,0,12,0,4,0,2,5,0,0.0000,0,0.0000
427,2027,25,0,100,1,1,0,392,90,85,424,1516,100,100,2,0,4,37,26,33,9,16,0,8,0,4,12,0,-1.5445,0,-1.3133
427,2027,25,0,100,1,3,0,178,43,42,191,0,71,40,1,0,3,17,12,0,0,4,0,4,0,2,7,0,0.0000,0,0.0000
427,2028,25,0,100,1,1,0,417,104,83,448,1610,100,100,4,0,8,42,32,44,6,23,0,5,0,4,4,0,0.9427,0,1.0847
427,2028,25,0,100,1,2,0,207,59,38,217,0,73,52,3,0,5,21,18,0,0,7,0,4,0,2,1,0,0.0000,0,0.0000
427,2028,25,0,100,1,3,0,210,45,45,231,0,80,48,1,0,3,21,14,0,0,16,0,1,0,2,3,0,0.0000,0,0.0000
427,2029,25,0,100,1,1,0,383,103,77,440,1663,100,100,7,3,12,66,41,40,8,47,0,10,0,4,6,0,1.5354,0,2.8918
427,2029,25,0,100,1,3,0,207,56,33,242,0,82,54,4,0,6,38,21,0,0,27,0,5,0,2,6,0,0.0000,0,0.0000
427,2029,25,0,100,1,2,0,176,47,44,198,0,69,46,3,3,6,28,20,0,0,20,0,5,0,2,0,0,0.0000,0,0.0000
428,2025,19,0,101,6,3,0,217,62,44,243,0,79,57,9,2,3,30,34,0,0,21,0,9,0,0,5,0,0.0000,0,0.0000
428,2025,19,0,101,6,1,0,382,106,66,424,1556,96,96,13,3,6,47,52,4,2,36,0,13,0,0,6,0,0.9082,0,0.5335
428,2025,19,0,101,6,2,0,165,44,22,181,0,63,39,4,1,3,17,18,0,0,15,0,4,0,0,1,0,0.0000,0,0.0000
428,2026,25,0,100,1,2,0,201,49,55,215,0,66,53,11,0,3,15,12,0,0,12,0,5,0,0,2,0,0.0000,0,0.0000
428,2026,25,0,100,1,1,0,381,92,98,409,1497,100,100,22,0,6,32,24,13,5,21,0,13,3,1,3,0,-1.8080,0,-0.5251
428,2026,25,0,100,1,3,0,180,43,43,194,0,62,47,11,0,3,17,12,0,0,9,0,8,3,1,1,0,0.0000,0,0.0000
428,2027,25,0,100,1,1,0,398,105,100,423,1453,100,100,9,2,11,43,46,24,12,17,0,8,0,3,5,0,-0.8967,0,0.1706
428,2027,25,0,100,1,2,0,208,57,59,222,0,70,60,6,0,4,24,25,0,0,8,0,3,0,2,4,0,0.0000,0,0.0000
428,2027,25,0,100,1,3,0,190,48,41,201,0,76,40,3,2,7,19,21,0,0,9,0,5,0,1,1,0,0.0000,0,0.0000
428,2028,25,0,100,1,1,0,275,66,56,301,1065,73,73,12,1,2,25,22,20,9,19,0,3,0,1,6,0,-1.1975,0,0.1256
428,2028,25,0,100,1,2,0,145,28,36,159,0,54,40,5,1,1,13,11,0,0,10,0,2,0,0,4,0,0.0000,0,0.0000
428,2028,25,0,100,1,3,0,130,38,20,142,0,55,33,7,0,1,12,11,0,0,9,0,1,0,1,2,0,0.0000,0,0.0000
