game_id,team,inning,score
20,1,6,1
20,0,7,1
20,1,7,0
20,0,8,0
20,1,8,0
20,0,9,1
20,1,9,0
21,0,1,0
21,1,1,0
21,0,2,1
21,1,2,0
21,0,3,0
21,1,3,4
21,0,4,0
21,1,4,3
21,0,5,2
21,1,5,0
21,0,6,0
21,1,6,0
21,0,7,0
21,1,7,0
21,0,8,0
21,1,8,0
21,0,9,0
21,1,9,0
22,0,1,0
22,1,1,0
22,0,2,0
22,1,2,0
22,0,3,3
22,1,3,0
22,0,4,0
22,1,4,0
22,0,5,0
22,1,5,0
22,0,6,0
22,1,6,0
22,0,7,0
22,1,7,0
22,0,8,0
22,1,8,0
22,0,9,0
22,1,9,0
23,0,1,1
23,1,1,0
23,0,2,0
23,1,2,0
23,0,3,0
23,1,3,2
23,0,4,0
23,1,4,0
23,0,5,2
23,1,5,0
23,0,6,1
23,1,6,0
23,0,7,0
23,1,7,0
23,0,8,0
23,1,8,0
23,0,9,0
23,1,9,0
24,0,1,0
24,1,1,0
24,0,2,0
24,1,2,1
24,0,3,5
24,1,3,1
24,0,4,0
24,1,4,0
24,0,5,0
24,1,5,0
24,0,6,0
24,1,6,0
24,0,7,1
24,1,7,0
24,0,8,0
24,1,8,1
24,0,9,1
24,1,9,2
25,0,1,3
25,1,1,0
25,0,2,0
25,1,2,0
25,0,3,0
25,1,3,3
25,0,4,0
25,1,4,0
25,0,5,0
25,1,5,0
25,0,6,0
25,1,6,1
25,0,7,4
25,1,7,0
25,0,8,0
25,1,8,2
25,0,9,0
25,1,9,1
25,0,10,0
25,1,10,0
25,0,11,1
25,1,11,0
26,0,1,1
26,1,1,0
26,0,2,0
26,1,2,2
26,0,3,0
26,1,3,0
26,0,4,0
26,1,4,4
26,0,5,0
26,1,5,0
26,0,6,1
26,1,6,0
26,0,7,1
26,1,7,1
26,0,8,1
26,1,8,0
26,0,9,0
26,1,9,0
27,0,1,2
27,1,1,0
27,0,2,1
27,1,2,0
27,0,3,0
27,1,3,0
27,0,4,0
27,1,4,0
27,0,5,0
27,1,5,0
27,0,6,0
27,1,6,0
27,0,7,1
27,1,7,1
27,0,8,1
27,1,8,0
27,0,9,0
27,1,9,0
28,0,1,0
28,1,1,1
28,0,2,0
28,1,2,0
28,0,3,0
28,1,3,0
28,0,4,1
28,1,4,1
28,0,5,4
28,1,5,0
28,0,6,3
28,1,6,0
28,0,7,0
28,1,7,0
28,0,8,0
28,1,8,0
28,0,9,0
28,1,9,0
29,0,1,1
29,1,1,0
29,0,2,1
29,1,2,0
29,0,3,1
29,1,3,0
29,0,4,0
29,1,4,0
29,0,5,0
29,1,5,0
29,0,6,2
29,1,6,0
29,0,7,0
29,1,7,0
29,0,8,1
29,1,8,0
29,0,9,0
29,1,9,0
30,0,1,4
30,1,1,0
30,0,2,0
30,1,2,1
30,0,3,0
30,1,3,0
30,0,4,0
30,1,4,1
30,0,5,0
30,1,5,1
30,0,6,0
30,1,6,0
30,0,7,0
30,1,7,1
30,0,8,0
30,1,8,0
30,0,9,0
30,1,9,0
30,0,10,2
30,1,10,0
31,0,1,0
31,1,1,0
31,0,2,0
31,1,2,0
31,0,3,0
31,1,3,0
31,0,4,0
31,1,4,0
31,0,5,0
31,1,5,0
31,0,6,3
31,1,6,0
31,0,7,0
31,1,7,2
31,0,8,0
31,1,8,0
31,0,9,0
31,1,9,0
32,0,1,2
32,1,1,1
32,0,2,0
32,1,2,0
32,0,3,0
32,1,3,0
32,0,4,4
32,1,4,0
32,0,5,1
32,1,5,0
32,0,6,0
32,1,6,0
32,0,7,0
32,1,7,0
32,0,8,0
32,1,8,0
32,0,9,0
32,1,9,0
33,0,1,4
33,1,1,3
33,0,2,0
33,1,2,1
33,0,3,0
33,1,3,1
33,0,4,0
33,1,4,0
33,0,5,0
33,1,5,0
33,0,6,0
33,1,6,0
33,0,7,0
33,1,7,0
33,0,8,0
33,1,8,0
33,0,9,0
33,1,9,0
34,0,1,3
34,1,1,0
34,0,2,0
34,1,2,0
34,0,3,3
34,1,3,1
34,0,4,3
34,1,4,0
34,0,5,0
34,1,5,2
34,0,6,0
34,1,6,0
34,0,7,0
34,1,7,0
34,0,8,2
34,1,8,3
34,0,9,5
34,1,9,1
35,0,1,1
35,1,1,0
35,0,2,0
35,1,2,0
35,0,3,5
35,1,3,0
35,0,4,0
35,1,4,0
35,0,5,0
35,1,5,0
35,0,6,0
35,1,6,0
35,0,7,0
35,1,7,0
35,0,8,0
35,1,8,0
35,0,9,0
35,1,9,1
36,0,1,0
36,1,1,0
36,0,2,1
36,1,2,0
36,0,3,0
36,1,3,0
36,0,4,4
36,1,4,0
36,0,5,0
36,1,5,0
36,0,6,0
36,1,6,0
36,0,7,4
36,1,7,0
36,0,8,0
36,1,8,3
36,0,9,0
36,1,9,0
37,0,1,0
37,1,1,0
37,0,2,0
37,1,2,0
37,0,3,0
37,1,3,0
37,0,4,1
37,1,4,0
37,0,5,0
37,1,5,3
37,0,6,4
37,1,6,3
37,0,7,0
37,1,7,0
37,0,8,0
37,1,8,0
37,0,9,0
37,1,9,0
38,0,1,0
38,1,1,0
38,0,2,0
38,1,2,1
38,0,3,8
38,1,3,0
38,0,4,2
38,1,4,1
38,0,5,2
38,1,5,0
38,0,6,0
38,1,6,0
38,0,7,5
38,1,7,0
38,0,8,5
38,1,8,0
38,0,9,1
38,1,9,0
39,0,1,2
39,1,1,0
39,0,2,1
39,1,2,0
39,0,3,0
39,1,3,0
39,0,4,1
39,1,4,0
39,0,5,3
39,1,5,3
39,0,6,0
39,1,6,0
39,0,7,0
39,1,7,0
39,0,8,0
39,1,8,0
39,0,9,0
39,1,9,0
40,0,1,2
40,1,1,0
40,0,2,0
40,1,2,0
40,0,3,0
40,1,3,0
40,0,4,0
40,1,4,2
40,0,5,0
40,1,5,1
40,0,6,3
40,1,6,0
40,0,7,0
40,1,7,0
40,0,8,0
40,1,8,0
40,0,9,0
40,1,9,0
41,0,1,0
41,1,1,0
41,0,2,0
41,1,2,0
41,0,3,0
41,1,3,0
41,0,4,2
41,1,4,0
41,0,5,0
41,1,5,0
41,0,6,0
41,1,6,1
41,0,7,0
41,1,7,0
41,0,8,0
41,1,8,0
41,0,9,0
41,1,9,1
41,0,10,1
41,1,10,0
42,0,1,0
42,1,1,2
42,0,2,0
42,1,2,0
42,0,3,0
42,1,3,0
42,0,4,0
42,1,4,0
42,0,5,0
42,1,5,0
42,0,6,0
42,1,6,4
42,0,7,0
42,1,7,0
42,0,8,0
42,1,8,0
42,0,9,0
42,1,9,0
43,0,1,0
43,1,1,0
43,0,2,0
43,1,2,0
43,0,3,2
43,1,3,0
43,0,4,0
43,1,4,1
43,0,5,4
43,1,5,0
43,0,6,0
43,1,6,0
43,0,7,0
43,1,7,0
43,0,8,0
43,1,8,2
43,0,9,0
43,1,9,0
44,0,1,2
44,1,1,0
44,0,2,0
44,1,2,1
44,0,3,0
44,1,3,3
44,0,4,0
44,1,4,2
44,0,5,0
44,1,5,1
44,0,6,0
44,1,6,0
44,0,7,0
44,1,7,0
44,0,8,0
44,1,8,1
44,0,9,0
44,1,9,0
45,0,1,0
45,1,1,0
45,0,2,0
45,1,2,0
45,0,3,3
45,1,3,0
45,0,4,1
45,1,4,0
45,0,5,2
45,1,5,0
45,0,6,1
45,1,6,0
45,0,7,0
45,1,7,0
45,0,8,0
45,1,8,0
45,0,9,0
45,1,9,0
46,0,1,0
46,1,1,3
46,0,2,0
46,1,2,0
46,0,3,0
46,1,3,3
46,0,4,0
46,1,4,0
46,0,5,2
46,1,5,5
46,0,6,0
46,1,6,0
46,0,7,0
46,1,7,0
46,0,8,0
46,1,8,2
46,0,9,0
46,1,9,0
47,0,1,0
47,1,1,0
47,0,2,0
47,1,2,1
47,0,3,0
47,1,3,0
47,0,4,0
47,1,4,0
47,0,5,0
47,1,5,0
47,0,6,0
47,1,6,1
47,0,7,0
47,1,7,0
47,0,8,0
47,1,8,0
47,0,9,0
47,1,9,0
48,0,1,0
48,1,1,0
48,0,2,0
48,1,2,0
48,0,3,0
48,1,3,1
48,0,4,1
48,1,4,1
48,0,5,0
48,1,5,0
48,0,6,0
48,1,6,0
48,0,7,0
48,1,7,0
48,0,8,0
48,1,8,0
