player_id,league_id,streak_id,value,has_ended,started,ended
44,101,1,1,0,"2027-9-8",NULL
45,100,7,15,1,"2020-8-11","2021-6-14"
45,100,4,2,1,"2024-5-30","2024-8-9"
45,100,5,11,1,"2024-8-16","2027-6-25"
45,100,4,11,0,"2024-8-21",NULL
45,100,6,5,1,"2029-8-13","2029-9-10"
45,100,6,1,0,"2029-10-18",NULL
46,100,7,8,1,"2019-6-1","2019-7-15"
46,100,6,4,1,"2020-5-19","2020-6-17"
46,100,7,1,0,"2020-9-29",NULL
46,100,5,8,1,"2021-6-3","2024-7-11"
46,100,4,5,1,"2022-9-12","2025-6-6"
46,100,6,3,0,"2028-7-24",NULL
47,100,0,1,0,"2019-9-19",NULL
47,101,0,5,1,"2023-5-23","2023-5-29"
47,101,1,4,1,"2023-8-4","2023-8-10"
47,101,2,2,1,"2023-8-8","2023-8-10"
47,101,3,2,1,"2023-8-8","2023-8-10"
48,100,1,18,1,"2027-10-5","2028-5-20"
48,100,3,10,1,"2027-10-16","2028-5-21"
48,100,2,4,1,"2029-6-11","2029-6-16"
48,100,0,18,1,"2029-8-14","2029-9-9"
49,100,0,10,1,"2019-6-23","2019-7-5"
49,100,1,4,1,"2019-7-14","2019-7-19"
49,100,3,4,1,"2019-7-20","2019-8-2"
49,100,2,1,1,"2020-5-25","2020-5-27"
49,100,0,1,0,"2020-8-27",NULL
49,100,3,1,0,"2020-8-27",NULL
50,100,4,7,1,"2019-5-25","2020-7-12"
50,100,6,6,1,"2020-7-12","2021-8-11"
50,100,4,11,0,"2020-9-24",NULL
50,100,5,2,1,"2021-8-11","2022-6-8"
50,101,4,1,1,"2023-5-16","2023-5-27"
50,101,5,5,1,"2023-5-27","2023-9-30"
50,101,4,7,0,"2023-6-17",NULL
50,101,6,1,0,"2023-9-30",NULL
50,100,5,5,0,"2025-7-11",NULL
51,100,1,3,1,"2019-8-3","2019-8-27"
51,100,0,8,1,"2020-5-16","2020-6-11"
51,100,3,2,1,"2020-7-13","2020-7-17"
51,100,2,1,1,"2020-8-19","2020-8-20"
51,101,1,7,1,"2022-9-13","2022-9-22"
51,101,2,2,1,"2023-6-9","2023-6-12"
51,101,3,3,1,"2023-7-13","2023-7-17"
51,101,0,9,1,"2023-9-14","2023-9-26"
51,101,0,2,0,"2023-9-30",NULL
52,100,4,2,1,"2019-9-30","2027-10-23"
52,101,5,10,1,"2021-9-3","2023-6-14"
52,101,7,11,1,"2021-9-3","2023-6-14"
52,101,6,1,1,"2023-6-14","2023-6-30"
52,101,5,1,0,"2023-6-30",NULL
52,101,4,1,0,"2023-7-4",NULL
52,100,5,5,1,"2025-5-30","2027-7-21"
52,100,6,3,0,"2027-7-21",NULL
54,100,0,7,1,"2020-8-5","2020-8-20"
54,100,1,5,1,"2020-8-5","2020-8-15"
54,100,2,1,1,"2020-9-22","2020-9-24"
54,100,3,2,1,"2020-9-30","2020-10-3"
54,100,0,2,0,"2020-10-1",NULL
55,100,1,3,1,"2020-5-25","2020-6-2"
55,100,0,8,1,"2020-8-22","2020-9-7"
55,100,3,7,1,"2020-8-25","2020-9-7"
55,101,1,4,1,"2023-6-28","2023-7-3"
55,101,0,6,1,"2023-8-24","2023-9-3"
55,101,2,1,1,"2023-8-30","2023-8-31"
55,101,3,2,1,"2023-9-15","2023-9-18"
55,101,0,6,0,"2023-9-23",NULL
55,101,3,4,0,"2023-9-26",NULL
55,101,1,3,0,"2023-9-29",NULL
55,100,2,1,1,"2026-8-19","2026-9-6"
55,100,0,1,0,"2026-10-23",NULL
55,100,3,1,0,"2026-10-23",NULL
56,100,5,5,1,"2021-9-15","2023-7-8"
56,100,6,7,1,"2023-9-1","2025-5-31"
56,100,4,12,1,"2028-6-15","2029-5-16"
56,100,5,1,0,"2029-10-6",NULL
56,100,4,1,0,"2029-10-10",NULL
57,100,6,4,1,"2020-5-21","2020-8-16"
57,100,4,8,1,"2020-9-6","2021-8-11"
57,100,5,6,1,"2024-7-2","2026-6-16"
57,100,6,1,0,"2029-9-17",NULL
58,100,2,2,1,"2019-7-20","2019-7-31"
58,100,3,3,1,"2021-6-24","2021-6-27"
58,100,0,8,1,"2021-8-14","2021-8-24"
58,100,1,3,1,"2021-9-26","2021-9-29"
59,100,1,5,1,"2019-7-3","2019-7-9"
59,100,3,4,1,"2020-8-4","2020-8-10"
59,100,0,11,1,"2021-7-6","2021-8-9"
59,100,0,3,0,"2023-9-1",NULL
59,100,2,1,1,"2023-9-1","2023-9-17"
59,100,1,3,0,"2023-9-1",NULL
60,100,0,12,1,"2019-7-8","2019-8-1"
60,100,1,10,1,"2021-8-16","2021-9-1"
60,100,2,3,1,"2023-6-16","2023-6-20"
60,100,3,5,1,"2023-6-16","2023-6-24"
61,100,0,3,0,"2018-7-10",NULL
61,100,1,2,0,"2018-8-8",NULL
61,100,3,1,0,"2018-8-18",NULL
62,100,6,8,1,"2021-6-1","2022-6-10"
62,100,4,18,1,"2021-10-1","2023-7-10"
62,100,7,22,1,"2027-7-16","2028-6-27"
62,100,5,13,1,"2027-8-13","2028-6-27"
62,100,5,5,0,"2029-8-27",NULL
62,100,7,10,0,"2029-8-27",NULL
64,100,0,6,1,"2019-7-5","2020-5-27"
64,100,1,3,1,"2020-6-7","2020-7-14"
64,100,2,2,1,"2020-8-22","2020-9-24"
64,100,3,4,1,"2021-7-13","2021-10-2"
64,100,0,1,0,"2025-10-23",NULL
64,100,1,1,0,"2025-10-23",NULL
65,101,0,14,1,"2022-7-4","2022-7-31"
65,101,3,5,1,"2022-8-30","2022-9-7"
65,101,2,2,1,"2022-9-13","2022-9-15"
65,101,0,7,0,"2022-9-25",NULL
65,101,1,4,1,"2022-9-25","2022-9-30"
65,101,1,2,0,"2022-10-1",NULL
65,100,0,13,1,"2028-5-30","2028-6-16"
65,100,1,6,1,"2028-7-16","2028-7-26"
65,100,3,5,1,"2029-7-9","2029-7-16"
65,100,2,2,1,"2029-7-21","2029-7-23"
65,100,0,2,0,"2029-10-15",NULL
65,100,1,2,0,"2029-10-15",NULL
66,100,2,2,1,"2022-8-10","2022-8-13"
66,100,1,4,1,"2023-7-1","2023-7-6"
66,100,0,13,1,"2025-5-16","2025-6-6"
66,100,3,4,1,"2025-8-12","2025-8-17"
66,100,0,3,0,"2025-10-21",NULL
66,100,3,3,0,"2025-10-21",NULL
67,100,4,4,1,"2018-5-22","2018-7-9"
67,100,4,2,0,"2018-7-13",NULL
67,100,5,2,1,"2018-7-14","2026-9-17"
67,101,4,6,0,"2021-5-21",NULL
67,101,5,1,1,"2021-7-30","2021-9-23"
67,101,6,1,1,"2021-9-23","2022-6-6"
67,101,5,2,0,"2022-6-6",NULL
67,100,6,2,0,"2026-9-17",NULL
68,100,0,7,1,"2018-7-3","2018-8-7"
68,100,1,5,1,"2020-9-20","2021-6-22"
68,100,3,3,1,"2020-9-29","2021-6-5"
68,100,2,2,1,"2021-5-24","2021-6-5"
69,100,4,6,1,"2022-7-10","2024-8-29"
