team_id,year,league_id,sub_league_id,division_id,level_id,split_id,position,g,gs,tc,a,po,e,dp,tp,pb,sba,rto,er,ip,ipf,pct,range,rtop,cera
12,2020,1000,0,0,0,0,0,60,0,2296,645,1620,31,58,0,1,69,26,0,4860,0,0.9865,4.1944,0.3768,0.0000
13,2020,1000,0,0,0,0,0,66,0,2492,671,1793,28,42,0,3,66,32,0,5379,0,0.9888,4.1227,0.4848,0.0000
14,2020,1000,0,0,0,0,0,66,0,2527,701,1782,44,64,0,6,63,28,0,5349,0,0.9826,4.1778,0.4444,0.0000
15,2020,1000,0,0,0,0,0,60,0,2296,631,1632,33,56,0,6,37,16,0,4899,0,0.9856,4.1574,0.4324,0.0000
16,2021,101,0,0,0,0,0,100,0,3950,1141,2748,61,111,0,4,68,13,0,8244,0,0.9846,4.2456,0.1912,0.0000
16,2022,101,0,0,0,0,0,100,0,3895,1110,2728,57,83,0,5,97,24,0,8184,0,0.9854,4.2207,0.2474,0.0000
16,2023,101,0,0,6,0,0,100,1000,3765,995,2701,69,86,0,5,94,29,0,8106,0,0.9817,4.1036,0.3085,0.0000
16,2024,101,0,0,6,0,0,100,1000,3802,1036,2688,78,99,0,13,80,18,0,8064,0,0.9795,4.1562,0.2250,0.0000
16,2025,101,0,0,6,0,0,101,1010,3772,986,2714,72,103,0,7,72,17,0,8142,0,0.9809,4.0899,0.2361,0.0000
16,2026,101,0,0,6,0,0,101,1010,3898,1110,2727,61,144,0,3,73,19,0,8181,0,0.9844,4.2211,0.2603,0.0000
17,2021,101,0,0,0,0,0,100,0,3944,1135,2724,85,131,0,7,112,19,0,8172,0,0.9784,4.2500,0.1696,0.0000
17,2022,101,0,0,0,0,0,100,0,3901,1164,2662,75,78,0,7,234,42,0,7986,0,0.9808,4.3118,0.1795,0.0000
17,2023,101,0,0,6,0,0,100,1000,3689,949,2680,60,91,0,8,90,28,0,8043,0,0.9837,4.0608,0.3111,0.0000
17,2024,101,0,1,6,0,0,100,1000,3669,968,2645,56,107,1,11,65,26,0,7935,0,0.9847,4.0979,0.4000,0.0000
17,2025,101,0,1,6,0,0,100,1000,3691,998,2641,52,117,0,7,59,21,0,7923,0,0.9859,4.1337,0.3559,0.0000
17,2026,101,0,1,6,0,0,100,1000,3697,994,2648,55,113,0,3,101,20,0,7944,0,0.9851,4.1261,0.1980,0.0000
18,2021,101,0,1,0,0,0,100,0,3902,1095,2744,63,111,0,3,107,34,0,8232,0,0.9839,4.1972,0.3178,0.0000
18,2022,101,0,1,0,0,0,100,0,3917,1118,2736,63,67,0,4,179,57,0,8208,0,0.9839,4.2259,0.3184,0.0000
18,2023,101,0,1,6,0,0,100,1000,3768,1036,2684,48,99,0,3,138,51,0,8052,0,0.9873,4.1580,0.3696,0.0000
18,2024,101,0,1,6,0,0,100,1000,3749,998,2697,54,95,0,5,114,27,0,8091,0,0.9856,4.1101,0.2368,0.0000
18,2025,101,0,1,6,0,0,100,1000,3866,1103,2690,73,117,0,8,73,16,0,8070,0,0.9811,4.2301,0.2192,0.0000
18,2026,101,0,1,6,0,0,101,1010,3908,1097,2755,56,117,0,20,128,24,0,8268,0,0.9857,4.1930,0.1875,0.0000
19,2021,101,0,1,0,0,0,100,0,3921,1135,2713,73,148,0,5,110,26,0,8142,0,0.9814,4.2535,0.2364,0.0000
19,2022,101,0,1,0,0,0,100,0,3892,1163,2656,73,89,0,10,307,56,0,7971,0,0.9812,4.3120,0.1824,0.0000
19,2023,101,0,1,6,0,0,100,1000,3655,938,2672,45,94,0,6,108,18,0,8016,0,0.9877,4.0531,0.1667,0.0000
19,2024,101,0,0,6,0,0,100,1000,3743,983,2702,58,87,0,6,101,24,0,8106,0,0.9845,4.0914,0.2376,0.0000
19,2025,101,0,0,6,0,0,101,1010,3761,986,2692,83,112,0,10,74,22,0,8076,0,0.9779,4.0988,0.2973,0.0000
19,2026,101,0,0,6,0,0,100,1000,3821,1076,2674,71,116,0,4,133,33,0,8022,0,0.9814,4.2072,0.2481,0.0000
24,2025,100,0,0,1,0,0,100,1000,3582,824,2708,50,67,0,6,44,7,0,8124,0,0.9860,3.9129,0.1591,0.0000
24,2026,100,0,0,1,0,0,100,1000,3636,842,2754,40,61,0,4,41,10,0,8262,0,0.9890,3.9172,0.2439,0.0000
25,2025,100,0,1,1,0,0,100,1000,3672,991,2617,64,111,1,7,95,23,0,7851,0,0.9826,4.1360,0.2421,0.0000
25,2026,100,0,1,1,0,0,100,1000,3593,934,2588,71,96,2,10,88,15,0,7764,0,0.9802,4.0827,0.1705,0.0000
