player_id,year,team_id,game_id,league_id,level_id,split_id,position,ab,h,k,pa,pitches_seen,g,gs,d,t,hr,r,rbi,sb,cs,bb,ibb,gdp,sh,sf,hp,ci,wpa,stint
15,2028,10,732,100,1,0,8,5,1,0,5,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0150,0
15,2028,10,736,100,1,0,8,2,0,1,5,0,1,1,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0.0082,0
15,2028,10,738,100,1,0,8,3,0,0,5,0,1,1,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0.0415,0
15,2028,10,744,100,1,0,8,4,1,0,5,0,1,1,0,1,0,2,0,0,0,1,0,0,0,0,0,0,0.0335,0
15,2028,10,747,100,1,0,8,4,1,1,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1466,0
15,2028,10,751,100,1,0,8,4,1,1,5,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,-0.0002,0
15,2028,10,755,100,1,0,8,5,2,1,5,0,1,1,0,2,0,1,1,0,0,0,0,0,0,0,0,0,-0.0033,0
15,2028,10,760,100,1,0,8,6,1,0,6,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,-0.0152,0
15,2028,10,763,100,1,0,8,5,3,0,6,0,1,1,0,0,1,3,3,0,0,1,0,0,0,0,0,0,0.1316,0
15,2028,10,766,100,1,0,8,5,3,0,5,0,1,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0.2357,0
15,2028,10,769,100,1,0,8,3,1,1,4,0,1,1,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0.1007,0
15,2028,10,776,100,1,0,8,4,1,0,5,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,-0.0654,0
15,2028,10,779,100,1,0,8,4,2,1,4,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0027,0
15,2028,10,782,100,1,0,8,5,1,0,5,0,1,1,0,0,1,1,3,0,0,0,0,0,0,0,0,0,-0.0480,0
15,2028,10,788,100,1,0,8,6,2,0,6,0,1,1,0,0,2,3,7,0,0,0,0,0,0,0,0,0,0.0954,0
15,2028,10,792,100,1,0,8,4,2,1,5,0,1,1,0,1,1,2,4,0,0,1,0,0,0,0,0,0,0.5575,0
15,2028,10,794,100,1,0,8,4,3,0,5,0,1,1,1,0,0,2,3,0,0,1,0,0,0,0,0,0,0.0366,0
15,2028,10,800,100,1,0,8,5,2,2,5,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.1029,0
15,2028,10,803,100,1,0,8,4,1,0,4,0,1,1,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0.0083,0
15,2028,10,807,100,1,0,8,4,2,0,6,0,1,1,1,0,0,3,2,0,0,1,0,0,0,1,0,0,0.0264,0
