player_id,year,team_id,game_id,league_id,level_id,split_id,ip,ab,tb,ha,k,bf,rs,bb,r,er,gb,fb,pi,ipf,g,gs,w,l,s,sa,da,sh,sf,ta,hra,bk,ci,iw,wp,hp,gf,dp,qs,svo,bs,ra,cg,sho,sb,cs,hld,ir,irs,wpa,li,stint,outs
493,2028,19,312,101,6,1,4,17,0,5,4,23,6,6,5,5,4,4,93,0,1,1,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.2822,15.0000,0,12
494,2028,16,306,101,6,1,1,4,0,1,0,5,0,0,0,0,0,3,20,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0.2194,23.7000,0,3
494,2028,16,308,101,6,1,3,15,0,6,1,16,0,1,4,4,4,4,52,1,1,0,0,0,0,3,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,2,2,-0.0078,4.9000,0,10
494,2028,16,313,101,6,1,1,2,0,0,1,6,0,2,0,0,1,1,25,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,1,0.0010,6.5000,0,3
498,2028,16,306,101,6,1,1,7,0,2,4,8,0,1,1,1,1,0,38,2,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0778,16.3000,0,5
498,2028,16,311,101,6,1,2,9,0,2,3,11,0,2,2,2,2,2,40,2,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,1,1,0,0.0831,5.9000,0,8
498,2028,16,315,101,6,1,1,5,0,0,2,6,0,1,0,0,2,1,22,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0.1751,8.3000,0,5
499,2028,25,740,100,1,19,1,5,0,2,0,5,0,0,2,2,1,2,21,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,-0.2292,5.5000,0,3
499,2028,25,748,100,1,19,0,3,0,3,0,4,0,0,3,3,0,0,9,0,1,0,0,1,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,-0.4655,8.9000,0,0
499,2028,25,756,100,1,19,0,1,0,0,0,1,0,0,0,0,1,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0.0128,0.5000,0,1
499,2028,25,760,100,1,19,1,7,0,2,2,9,0,2,2,2,1,2,33,2,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,-0.0011,2.1000,0,5
499,2028,25,781,100,1,19,1,4,0,1,2,4,0,0,0,0,1,0,18,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0.2387,17.2000,0,3
499,2028,25,791,100,1,19,1,5,0,0,2,7,0,2,0,0,1,2,27,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0.0259,7.0000,0,5
499,2028,25,812,100,1,19,2,8,0,1,2,9,0,1,0,0,3,2,38,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0.1406,11.4000,0,7
499,2028,25,8,100,1,1,0,2,0,1,0,2,0,0,0,0,0,1,8,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,-0.0060,0.2000,0,1
499,2028,25,20,100,1,1,1,7,0,3,2,7,0,0,1,1,1,0,29,1,1,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,-0.0113,0.9000,0,4
500,2028,25,732,100,1,19,2,8,0,1,4,8,0,0,0,0,3,0,28,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2,0,0.1950,6.9000,0,8
500,2028,25,749,100,1,19,2,8,0,1,1,10,0,2,1,1,3,3,39,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-0.0169,5.1000,0,7
500,2028,25,772,100,1,19,2,7,0,0,3,8,0,1,0,0,0,4,40,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0373,2.1000,0,7
500,2028,25,788,100,1,19,1,5,0,1,1,8,0,3,3,3,1,2,32,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-0.0038,1.2000,0,4
500,2028,25,796,100,1,19,0,1,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2,0,0.0006,0.1000,0,1
500,2028,25,805,100,1,19,1,7,0,3,1,7,0,0,2,2,2,1,25,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-0.0910,3.2000,0,4
500,2028,25,816,100,1,19,0,3,0,1,1,4,0,1,1,1,1,0,16,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0.0026,1.2000,0,2
500,2028,25,822,100,1,19,0,1,0,1,0,1,0,0,1,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,-0.0270,0.6000,0,0
500,2028,17,303,101,6,1,0,1,0,0,0,1,0,0,0,0,1,0,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0.0015,0.2000,0,1
500,2028,17,305,101,6,1,2,7,0,2,1,7,0,0,0,0,2,2,23,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0.0905,5.6000,0,6
500,2028,17,313,101,6,1,2,8,0,2,0,11,0,3,4,2,2,4,57,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,2,-0.0832,5.4000,0,6
501,2028,24,735,100,1,19,2,8,0,2,4,10,0,1,0,0,2,0,32,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2,0,0,0,0,0.1209,18.8000,0,6
501,2028,24,739,100,1,19,1,5,0,2,2,7,0,1,2,2,0,1,28,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,-0.3205,15.5000,0,3
501,2028,24,752,100,1,19,1,7,0,2,1,8,0,1,4,1,1,2,19,1,1,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-0.5650,13.2000,0,4
501,2028,24,754,100,1,19,2,9,0,3,0,10,0,1,1,1,4,2,29,2,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0.0062,6.3000,0,8
501,2028,24,764,100,1,19,0,1,0,0,0,2,0,1,0,0,1,0,8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0.0015,0.3000,0,1
501,2028,24,768,100,1,19,2,6,0,0,1,6,0,0,0,0,2,3,20,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0766,3.3000,0,6
501,2028,24,776,100,1,19,2,12,0,4,2,13,0,1,2,2,3,3,44,2,1,0,1,0,0,2,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,2,0,-0.2043,23.4000,0,8
501,2028,24,783,100,1,19,2,8,0,1,2,8,0,0,0,0,2,3,30,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0273,3.5000,0,7
501,2028,24,787,100,1,19,0,3,0,2,1,4,0,1,2,2,0,0,14,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-0.0258,1.1000,0,1
501,2028,24,795,100,1,19,3,8,0,0,2,9,0,1,0,0,3,3,39,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,1,0,0,0,0,0,1,0,0.0609,3.9000,0,9
501,2028,24,803,100,1,19,1,3,0,0,0,3,0,0,0,0,3,0,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0.0385,1.8000,0,3
501,2028,24,808,100,1,19,2,6,0,0,2,7,0,1,0,0,3,1,32,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.1349,8.0000,0,6
501,2028,24,820,100,1,19,1,6,0,2,0,6,0,0,3,2,2,1,21,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-0.2899,5.0000,0,3
501,2028,24,823,100,1,19,2,8,0,0,4,8,0,0,0,0,1,3,35,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0.1016,4.2000,0,8
