player_id,year,team_id,game_id,league_id,level_id,split_id,ip,ab,tb,ha,k,bf,rs,bb,r,er,gb,fb,pi,ipf,g,gs,w,l,s,sa,da,sh,sf,ta,hra,bk,ci,iw,wp,hp,gf,dp,qs,svo,bs,ra,cg,sho,sb,cs,hld,ir,irs,wpa,li,stint,outs,war
336,2023,19,0,101,6,1,84,323,0,78,77,353,0,26,36,34,85,84,1322,2,53,0,4,3,7,61,9,0,1,0,8,0,0,1,6,3,19,6,0,12,5,53,0,0,3,1,11,22,11,0.5476,449.3000,0,254,1.3238
336,2023,19,0,101,6,3,66,254,0,62,64,275,0,20,27,25,64,64,0,0,53,0,0,0,0,49,7,0,0,0,6,0,0,1,5,1,0,4,0,0,0,53,0,0,0,0,0,12,5,0.0000,360.3000,0,198,0.0000
336,2023,19,0,101,6,2,18,69,0,16,13,78,0,6,9,9,21,20,0,2,43,0,0,0,0,12,2,0,1,0,2,0,0,0,1,2,0,2,0,0,0,43,0,0,0,0,0,10,6,0.0000,89.0000,0,56,0.0000
336,2024,2,0,100,1,21,0,5,0,4,0,6,0,1,4,4,0,1,19,1,1,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,-0.4161,9.4000,0,1,0.0000
336,2024,2,0,100,1,1,30,107,0,22,24,120,0,10,11,11,29,33,451,1,31,0,3,1,3,18,0,1,1,1,3,0,0,1,4,1,11,2,0,5,2,31,0,0,0,1,7,23,4,1.7285,179.5000,0,91,0.2657
336,2024,2,0,100,1,3,20,74,0,16,13,82,0,7,4,4,19,26,0,0,27,0,0,0,0,14,0,1,0,1,1,0,0,1,4,0,0,1,0,0,0,27,0,0,0,0,0,14,4,0.0000,134.6000,0,60,0.0000
336,2024,2,0,100,1,2,10,33,0,6,11,38,0,3,7,7,10,7,0,1,21,0,0,0,0,4,0,0,1,0,2,0,0,0,0,1,0,1,0,0,0,21,0,0,0,0,0,9,0,0.0000,44.9000,0,31,0.0000
336,2025,2,0,100,1,3,35,131,0,32,43,142,0,8,12,12,24,34,0,0,52,0,0,0,0,20,6,1,1,0,6,0,0,1,2,1,0,2,0,0,0,52,0,0,0,0,0,12,6,0.0000,193.1000,0,105,0.0000
336,2025,2,0,100,1,1,52,199,0,46,61,213,0,10,19,19,44,49,810,2,52,0,2,2,4,29,9,1,1,0,8,0,0,1,2,2,15,2,0,8,4,52,0,0,0,0,21,28,9,0.6303,276.0000,0,158,0.6655
336,2025,2,0,100,1,2,17,68,0,14,18,71,0,2,7,7,20,15,0,2,36,0,0,0,0,9,3,0,0,0,2,0,0,0,0,1,0,0,0,0,0,36,0,0,0,0,0,16,3,0.0000,82.9000,0,53,0.0000
