"team_id","parent_team_id","league_id","player_id","year","ab","h","SO","pa","pitches_seen","g","Dbl","Trp","hr","r","rbi","sb","bb","ibb","sf","hp","ip","p_ab","p_tb","ha","k","walks","p_r","er","w","l","s","p_sf","hra","qs","cg","sho","hld","zr","war","games","games_remaining","pa_pace","avg","obp","sin","rc","tb","slg","ops","iso","b_babip","bat_k_pcnt","bat_bb_pcnt","bat_k_bb_pcnt","era","whip","p_babip","fip","HR_per_9","R_per_9","H_per_9","K_per_9","BB_per_9","pit_k_pcnt","pit_bb_pcnt","pit_k_bb_pcnt","full_name","position_name","league_abbr","parent_team_abbr","team_name","winloss","name_pos","url"
1,1,100,94,2023,7,3,2,7,18,4,2,0,0,2,2,0,0,0,0,0,1,6,0,2,0,2,3,3,0,1,0,1,1,0,0,0,0,-0.4875,-0.1,162,0,7,0.429,0.429,1,2,5,0.714,1.143,0.285,0.6,0.29,0,0.29,27,4,0.167,22.1,9,27,18,0,18,0,0.33,-0.33,"George Delrod","SS","PBE","NYV","New York Voyagers","0 - 1","George Delrod - SS","http://www.pbesim.com/players/player_94.html"
1,1,100,191,2025,86,16,28,92,330,24,2,0,2,5,8,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.58,162,0,92,0.186,0.239,12,6,24,0.279,0.518,0.093,0.25,0.3,0.04,0.26,0,0,0,0,0,0,0,0,0,0,0,0,"Michael Martin","C","PBE","NYV","New York Voyagers","0 - 0","Michael Martin - C","http://www.pbesim.com/players/player_191.html"
1,1,100,218,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,231,0,60,31,35,30,26,5,6,4,6,3,0,0,0,1,0.3716,-0.43,162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.774,1.532,0.281,4.42,0.44,4.35,8.71,4.5,5.08,0.13,0.15,-0.02,"Felipe Fernandez","P","PBE","NYV","New York Voyagers","5 - 6","Felipe Fernandez - P","http://www.pbesim.com/players/player_218.html"
1,1,100,34,2026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,261,0,74,74,22,43,43,3,1,0,2,10,0,0,0,0,-0.2012,0.37,162,102,0,0,0,0,0,0,0,0,0,0,0,0,0,6.047,1.5,0.358,3.85,1.41,6.05,10.41,10.41,3.09,0.28,0.08,0.2,"Omar Wright","P","PBE","NYV","New York Voyagers","3 - 1","Omar Wright - P","http://www.pbesim.com/players/player_34.html"
1,1,100,34,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,163,0,43,30,21,27,24,3,2,1,3,4,0,0,0,0,0.0679,-0.1,162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.143,1.524,0.295,4.41,0.86,5.79,9.21,6.43,4.5,0.18,0.13,0.05,"Omar Wright","P","PBE","NYV","New York Voyagers","3 - 2","Omar Wright - P","http://www.pbesim.com/players/player_34.html"
1,1,100,80,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,178,0,47,30,24,28,28,2,2,2,1,9,0,0,0,3,0.0412,-1.04,162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.362,1.511,0.271,5.84,1.72,5.36,9,5.74,4.6,0.17,0.13,0.04,"Bobby Outman","P","PBE","NYV","New York Voyagers","2 - 2","Bobby Outman - P","http://www.pbesim.com/players/player_80.html"
1,1,100,10,2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,264,0,55,90,17,24,24,5,0,3,2,7,0,0,0,14,0.4233,1.7,162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.959,0.986,0.284,2.58,0.86,2.96,6.78,11.1,2.1,0.34,0.06,0.28,"Ludwig Groetzinger","P","PBE","NYV","New York Voyagers","5 - 0","Ludwig Groetzinger - P","http://www.pbesim.com/players/player_10.html"
1,1,100,173,2017,154,46,29,174,621,48,9,0,3,19,27,0,12,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.0096,0.43,162,0,174,0.299,0.356,34,23,64,0.416,0.772,0.117,0.341,0.17,0.07,0.1,0,0,0,0,0,0,0,0,0,0,0,0,"Jarrod Stanton","2B","PBE","NYV","New York Voyagers","0 - 0","Jarrod Stanton - 2B","http://www.pbesim.com/players/player_173.html"
1,1,100,51,2020,177,43,45,194,726,51,9,1,1,13,12,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0574,-0.53,162,0,194,0.243,0.291,32,17,57,0.322,0.613,0.079,0.321,0.23,0.06,0.17,0,0,0,0,0,0,0,0,0,0,0,0,"Ollie Daniels","LF","PBE","NYV","New York Voyagers","0 - 0","Ollie Daniels - LF","http://www.pbesim.com/players/player_51.html"
1,1,100,208,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,191,718,0,164,208,30,53,51,13,9,0,1,14,20,7,3,0,2.1122,5.01,162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.403,1.016,0.302,2.35,0.66,2.5,7.73,9.8,1.41,0.29,0.04,0.25,"Elston Sinclair","P","PBE","NYV","New York Voyagers","13 - 9","Elston Sinclair - P","http://www.pbesim.com/players/player_208.html"
1,1,100,96,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,31,0,10,7,3,3,3,0,0,0,0,1,0,0,0,0,0.006,-0.08,162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.857,1.857,0.391,4.24,1.29,3.86,12.86,9,3.86,0.23,0.1,0.13,"Kruton Bazko","P","PBE","NYV","New York Voyagers","0 - 0","Kruton Bazko - P","http://www.pbesim.com/players/player_96.html"
1,1,100,97,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155,631,0,178,105,39,86,78,6,11,0,2,18,12,1,0,0,0.1893,1.81,162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.529,1.4,0.314,4.01,1.05,4.99,10.34,6.1,2.26,0.17,0.06,0.11,"Pene Pequeño","P","PBE","NYV","New York Voyagers","6 - 11","Pene Pequeño - P","http://www.pbesim.com/players/player_97.html"
1,1,100,275,2024,381,97,111,407,1482,100,17,0,23,58,58,0,26,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9191,1.53,162,0,407,0.255,0.306,57,56,183,0.48,0.786,0.225,0.3,0.27,0.06,0.21,0,0,0,0,0,0,0,0,0,0,0,0,"Laddy McBantershire","C","PBE","NYV","New York Voyagers","0 - 0","Laddy McBantershire - C","http://www.pbesim.com/players/player_275.html"
