"home_team","game_id","league_id","date","time","innings","runs_home","hits_home","home_abbr","home_division_id","home_team_name","home","home_win","home_loss","away_team","runs_away","hits_away","away_abbr","away_division_id","away_team_name","away","away_win","away_loss"
24,59,100,"2027-6-5",1905,9,6,6,"FL",0,"Florida Space Rangers","home",0,1,3,7,14,"PRO",0,"Providence Crabs","away",1,0
1,5,100,"2027-5-16",1905,9,4,7,"NYV",0,"New York Voyagers","home",1,0,3,1,7,"PRO",0,"Providence Crabs","away",0,1
1,1,100,"2027-5-15",1905,9,1,5,"NYV",0,"New York Voyagers","home",1,0,3,0,1,"PRO",0,"Providence Crabs","away",0,1
24,63,100,"2027-6-6",1905,9,9,11,"FL",0,"Florida Space Rangers","home",1,0,3,1,4,"PRO",0,"Providence Crabs","away",0,1
2,91,100,"2027-6-16",1905,9,6,7,"OBX",0,"Outer Banks Aviators","home",0,1,3,10,17,"PRO",0,"Providence Crabs","away",1,0
1,9,100,"2027-5-17",1905,11,7,11,"NYV",0,"New York Voyagers","home",1,0,3,5,11,"PRO",0,"Providence Crabs","away",0,1
2,87,100,"2027-6-15",1905,9,10,12,"OBX",0,"Outer Banks Aviators","home",1,0,3,3,6,"PRO",0,"Providence Crabs","away",0,1
10,72,100,"2027-6-10",1905,9,6,10,"DV",1,"Death Valley Scorpions","home",1,0,3,3,5,"PRO",0,"Providence Crabs","away",0,1
10,68,100,"2027-6-9",1905,9,2,4,"DV",1,"Death Valley Scorpions","home",0,1,3,4,8,"PRO",0,"Providence Crabs","away",1,0
11,95,100,"2027-6-19",1905,9,2,7,"VAN",1,"Vancouver Vandals","home",1,0,3,0,5,"PRO",0,"Providence Crabs","away",0,1
2,83,100,"2027-6-14",1905,9,6,10,"OBX",0,"Outer Banks Aviators","home",1,0,3,3,11,"PRO",0,"Providence Crabs","away",0,1
25,89,100,"2027-6-16",1905,9,2,6,"UTA",1,"Utah Railroaders","home",0,1,9,6,8,"SAS",1,"San Antonio Sloths","away",1,0
25,11,100,"2027-5-17",1905,9,2,3,"UTA",1,"Utah Railroaders","home",0,1,9,11,14,"SAS",1,"San Antonio Sloths","away",1,0
10,62,100,"2027-6-5",1905,9,7,12,"DV",1,"Death Valley Scorpions","home",1,0,9,3,10,"SAS",1,"San Antonio Sloths","away",0,1
25,7,100,"2027-5-16",1905,9,0,2,"UTA",1,"Utah Railroaders","home",0,1,9,5,8,"SAS",1,"San Antonio Sloths","away",1,0
25,85,100,"2027-6-15",1905,9,3,9,"UTA",1,"Utah Railroaders","home",0,1,9,15,17,"SAS",1,"San Antonio Sloths","away",1,0
2,27,100,"2027-5-23",1905,9,5,9,"OBX",0,"Outer Banks Aviators","home",1,0,9,3,8,"SAS",1,"San Antonio Sloths","away",0,1
3,43,100,"2027-5-30",1905,9,7,11,"PRO",0,"Providence Crabs","home",0,1,9,8,13,"SAS",1,"San Antonio Sloths","away",1,0
3,51,100,"2027-6-1",1905,9,5,5,"PRO",0,"Providence Crabs","home",0,1,9,8,14,"SAS",1,"San Antonio Sloths","away",1,0
25,82,100,"2027-6-14",1905,9,5,11,"UTA",1,"Utah Railroaders","home",0,1,9,8,11,"SAS",1,"San Antonio Sloths","away",1,0
10,66,100,"2027-6-6",1905,9,5,7,"DV",1,"Death Valley Scorpions","home",1,0,9,4,9,"SAS",1,"San Antonio Sloths","away",0,1
25,93,100,"2027-6-17",1905,9,1,5,"UTA",1,"Utah Railroaders","home",0,1,9,4,8,"SAS",1,"San Antonio Sloths","away",1,0
3,47,100,"2027-5-31",1905,9,7,12,"PRO",0,"Providence Crabs","home",1,0,9,5,5,"SAS",1,"San Antonio Sloths","away",0,1
