"league_id","team_id","game_id","date","time","innings","runs","hits","team_abbr","team_name","home/away","win","loss","division","league_abbr"
100,1,74,"2027-6-10",1905,9,2,8,"NYV","New York Voyagers","away",1,0,"Eastern Division","PBE"
100,1,78,"2027-6-11",1905,12,6,13,"NYV","New York Voyagers","away",0,1,"Eastern Division","PBE"
100,1,84,"2027-6-14",1905,9,1,5,"NYV","New York Voyagers","home",0,1,"Eastern Division","PBE"
100,1,88,"2027-6-15",1905,9,0,6,"NYV","New York Voyagers","home",0,1,"Eastern Division","PBE"
100,1,92,"2027-6-16",1905,9,1,4,"NYV","New York Voyagers","home",0,1,"Eastern Division","PBE"
100,1,98,"2027-6-19",1905,9,3,6,"NYV","New York Voyagers","home",0,1,"Eastern Division","PBE"
100,2,2,"2027-5-15",1905,9,8,10,"OBX","Outer Banks Aviators","away",0,1,"Eastern Division","PBE"
100,2,6,"2027-5-16",1905,9,0,5,"OBX","Outer Banks Aviators","away",0,1,"Eastern Division","PBE"
100,2,10,"2027-5-17",1905,9,5,11,"OBX","Outer Banks Aviators","away",1,0,"Eastern Division","PBE"
100,2,13,"2027-5-18",1905,9,2,7,"OBX","Outer Banks Aviators","away",0,1,"Eastern Division","PBE"
100,2,15,"2027-5-20",1905,9,2,7,"OBX","Outer Banks Aviators","away",0,1,"Eastern Division","PBE"
100,2,19,"2027-5-21",1905,9,4,8,"OBX","Outer Banks Aviators","away",0,1,"Eastern Division","PBE"
100,2,23,"2027-5-22",1905,9,3,7,"OBX","Outer Banks Aviators","home",0,1,"Eastern Division","PBE"
100,2,27,"2027-5-23",1905,9,5,9,"OBX","Outer Banks Aviators","home",1,0,"Eastern Division","PBE"
100,2,30,"2027-5-25",1905,9,7,7,"OBX","Outer Banks Aviators","home",1,0,"Eastern Division","PBE"
100,2,33,"2027-5-26",1905,9,2,5,"OBX","Outer Banks Aviators","home",1,0,"Eastern Division","PBE"
100,2,37,"2027-5-27",1905,9,5,7,"OBX","Outer Banks Aviators","home",1,0,"Eastern Division","PBE"
100,2,44,"2027-5-30",1905,9,3,11,"OBX","Outer Banks Aviators","away",1,0,"Eastern Division","PBE"
100,2,48,"2027-5-31",1905,9,0,4,"OBX","Outer Banks Aviators","away",0,1,"Eastern Division","PBE"
100,2,52,"2027-6-1",1905,9,4,6,"OBX","Outer Banks Aviators","away",1,0,"Eastern Division","PBE"
100,2,56,"2027-6-4",1905,10,6,9,"OBX","Outer Banks Aviators","away",1,0,"Eastern Division","PBE"
100,2,60,"2027-6-5",1905,9,14,18,"OBX","Outer Banks Aviators","away",1,0,"Eastern Division","PBE"
100,2,64,"2027-6-6",1905,9,7,13,"OBX","Outer Banks Aviators","away",1,0,"Eastern Division","PBE"
100,2,69,"2027-6-9",1905,9,9,12,"OBX","Outer Banks Aviators","away",1,0,"Eastern Division","PBE"
100,2,73,"2027-6-10",1905,9,8,13,"OBX","Outer Banks Aviators","away",0,1,"Eastern Division","PBE"
100,2,77,"2027-6-11",1905,9,9,10,"OBX","Outer Banks Aviators","away",1,0,"Eastern Division","PBE"
100,2,83,"2027-6-14",1905,9,6,10,"OBX","Outer Banks Aviators","home",1,0,"Eastern Division","PBE"
100,2,87,"2027-6-15",1905,9,10,12,"OBX","Outer Banks Aviators","home",1,0,"Eastern Division","PBE"
100,2,91,"2027-6-16",1905,9,6,7,"OBX","Outer Banks Aviators","home",0,1,"Eastern Division","PBE"
100,2,97,"2027-6-19",1905,9,1,4,"OBX","Outer Banks Aviators","away",0,1,"Eastern Division","PBE"
100,3,1,"2027-5-15",1905,9,0,1,"PRO","Providence Crabs","away",0,1,"Eastern Division","PBE"
100,3,5,"2027-5-16",1905,9,1,7,"PRO","Providence Crabs","away",0,1,"Eastern Division","PBE"
100,3,9,"2027-5-17",1905,11,5,11,"PRO","Providence Crabs","away",0,1,"Eastern Division","PBE"
100,3,18,"2027-5-20",1905,9,4,7,"PRO","Providence Crabs","home",1,0,"Eastern Division","PBE"
100,3,22,"2027-5-21",1905,9,1,9,"PRO","Providence Crabs","home",0,1,"Eastern Division","PBE"
100,3,26,"2027-5-22",1905,9,11,16,"PRO","Providence Crabs","home",1,0,"Eastern Division","PBE"
100,3,29,"2027-5-25",1905,9,7,10,"PRO","Providence Crabs","home",1,0,"Eastern Division","PBE"
100,3,32,"2027-5-26",1905,9,3,6,"PRO","Providence Crabs","home",1,0,"Eastern Division","PBE"
100,3,36,"2027-5-27",1905,9,1,5,"PRO","Providence Crabs","home",0,1,"Eastern Division","PBE"
100,3,43,"2027-5-30",1905,9,7,11,"PRO","Providence Crabs","home",0,1,"Eastern Division","PBE"
100,3,47,"2027-5-31",1905,9,7,12,"PRO","Providence Crabs","home",1,0,"Eastern Division","PBE"
100,3,51,"2027-6-1",1905,9,5,5,"PRO","Providence Crabs","home",0,1,"Eastern Division","PBE"
100,3,55,"2027-6-4",1905,15,5,8,"PRO","Providence Crabs","away",0,1,"Eastern Division","PBE"
100,3,59,"2027-6-5",1905,9,7,14,"PRO","Providence Crabs","away",1,0,"Eastern Division","PBE"
100,3,63,"2027-6-6",1905,9,1,4,"PRO","Providence Crabs","away",0,1,"Eastern Division","PBE"
100,3,68,"2027-6-9",1905,9,4,8,"PRO","Providence Crabs","away",1,0,"Eastern Division","PBE"
100,3,72,"2027-6-10",1905,9,3,5,"PRO","Providence Crabs","away",0,1,"Eastern Division","PBE"
100,3,76,"2027-6-11",1905,9,1,6,"PRO","Providence Crabs","home",0,1,"Eastern Division","PBE"
100,3,80,"2027-6-12",1905,9,7,9,"PRO","Providence Crabs","home",1,0,"Eastern Division","PBE"
