"league_id","player_id","ab","h","SO","pa","pitches_seen","g","Dbl","Trp","hr","r","rbi","sb","bb","ibb","sf","hp","ip","p_ab","p_tb","ha","k","walks","p_r","er","w","l","s","p_sf","hra","qs","cg","sho","hld","zr","war","avg","obp","sin","rc","tb","slg","ops","iso","b_babip","bat_k_pcnt","bat_bb_pcnt","bat_k_bb_pcnt","era","whip","p_babip","fip","HR_per_9","R_per_9","H_per_9","K_per_9","BB_per_9","pit_k_pcnt","pit_bb_pcnt","pit_k_bb_pcnt","full_name","position_name","league_abbr","winloss","name_pos","url","pitch_hit"
101,240,427,130,60,493,1929,100,15,0,8,67,45,12,63,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.8225,3.53,0.304,0.398,107,67,169,0.396,0.794,0.092,0.339,0.12,0.13,-0.01,0,0,0,0,0,0,0,0,0,0,0,0,"Alex Sincario","2B","MiLPBE","0 - 0","Alex Sincario - 2B","http://www.pbesim.com/players/player_240.html","Hitter"
101,450,399,125,57,448,1679,101,9,3,10,52,61,0,45,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.959,1.61,0.313,0.385,103,66,170,0.426,0.811,0.113,0.344,0.13,0.1,0.03,0,0,0,0,0,0,0,0,0,0,0,0,"Ben Beck","1B","MiLPBE","0 - 0","Ben Beck - 1B","http://www.pbesim.com/players/player_450.html","Hitter"
101,135,742,192,180,818,3023,200,13,1,22,86,102,9,64,0,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-13.2456,0.39,0.259,0.317,156,87,273,0.368,0.685,0.109,0.31,0.22,0.08,0.14,0,0,0,0,0,0,0,0,0,0,0,0,"Mark -Fish-","3B","MiLPBE","0 - 0","Mark -Fish- - 3B","http://www.pbesim.com/players/player_135.html","Hitter"
101,338,495,135,87,552,1973,141,14,3,12,61,71,5,46,0,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.9776,1.61,0.273,0.344,106,66,191,0.386,0.73,0.113,0.309,0.16,0.08,0.08,0,0,0,0,0,0,0,0,0,0,0,0,"Troy Castlefield-Pfloog","C","MiLPBE","0 - 0","Troy Castlefield-Pfloog - C","http://www.pbesim.com/players/player_338.html","Hitter"
101,279,734,178,160,813,3087,200,17,2,24,72,95,8,67,0,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.3879,-0.36,0.243,0.31,135,85,271,0.369,0.679,0.126,0.277,0.2,0.08,0.12,0,0,0,0,0,0,0,0,0,0,0,0,"Sam -Kahn-","1B","MiLPBE","0 - 0","Sam -Kahn- - 1B","http://www.pbesim.com/players/player_279.html","Hitter"
101,420,4,2,0,4,14,4,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0913,0.06,0.5,0.5,2,1,2,0.5,1,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Jaxsin Tyler","LF","MiLPBE","0 - 0","Jaxsin Tyler - LF","http://www.pbesim.com/players/player_420.html","Hitter"
101,138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,354,1392,0,380,239,83,173,166,23,15,0,11,33,22,1,0,0,-5.3479,6.92,0,0,0,0,0,0,0,0,0,0,0,0,4.22,1.308,0.307,3.66,0.84,4.4,9.66,6.08,2.11,0.17,0.06,0.11,"Brett Smoky","P","MiLPBE","23 - 15","Brett Smoky - P","http://www.pbesim.com/players/player_138.html","Pitcher"
101,423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,282,1124,0,315,227,124,192,175,13,20,0,7,39,15,0,0,0,-0.9642,2.25,0,0,0,0,0,0,0,0,0,0,0,0,5.585,1.557,0.319,4.61,1.24,6.13,10.05,7.24,3.96,0.2,0.11,0.09,"Mitchell McDowell","P","MiLPBE","13 - 20","Mitchell McDowell - P","http://www.pbesim.com/players/player_423.html","Pitcher"
101,342,1238,311,231,1381,4998,301,48,5,49,161,144,12,122,0,6,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-25.7822,2.25,0.251,0.324,209,168,516,0.417,0.741,0.166,0.272,0.17,0.09,0.08,0,0,0,0,0,0,0,0,0,0,0,0,"Jeffrey Murphy","2B","MiLPBE","0 - 0","Jeffrey Murphy - 2B","http://www.pbesim.com/players/player_342.html","Hitter"
101,284,679,186,107,786,3000,183,20,2,9,84,72,13,77,2,5,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.4513,2.39,0.274,0.354,155,84,237,0.349,0.703,0.075,0.312,0.14,0.1,0.04,0,0,0,0,0,0,0,0,0,0,0,0,"D.J. -Smith-","C","MiLPBE","0 - 0","D.J. -Smith- - C","http://www.pbesim.com/players/player_284.html","Hitter"
101,343,397,111,80,431,1623,100,14,0,16,49,64,6,30,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.2333,1.48,0.28,0.332,81,58,173,0.436,0.768,0.156,0.314,0.19,0.07,0.12,0,0,0,0,0,0,0,0,0,0,0,0,"Marc Courtremanche","1B","MiLPBE","0 - 0","Marc Courtremanche - 1B","http://www.pbesim.com/players/player_343.html","Hitter"
101,425,797,192,196,864,3194,200,21,4,27,98,109,0,60,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.8297,-0.42,0.241,0.296,140,90,302,0.379,0.675,0.138,0.286,0.23,0.07,0.16,0,0,0,0,0,0,0,0,0,0,0,0,"Icy Douglas","LF","MiLPBE","0 - 0","Icy Douglas - LF","http://www.pbesim.com/players/player_425.html","Hitter"
101,426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142,571,0,161,114,52,77,70,11,9,0,7,13,6,0,0,0,0.096,2.71,0,0,0,0,0,0,0,0,0,0,0,0,4.437,1.5,0.328,3.78,0.82,4.88,10.2,7.23,3.3,0.2,0.09,0.11,"Epictitus Milburn","P","MiLPBE","11 - 9","Epictitus Milburn - P","http://www.pbesim.com/players/player_426.html","Pitcher"
