"player_id","service.time","label","position_name"
259,4,"Total","RF"
259,1,"MIPBE","RF"
259,3,"PBE","RF"
260,6,"PBE","RF"
260,6,"Total","RF"
261,4,"PBE","CF"
261,4,"Total","CF"
262,4,"PBE","RF"
262,1,"MIPBE","RF"
262,5,"Total","RF"
264,10,"Total","C"
264,10,"PBE","C"
265,1,"Total","CF"
265,1,"PBE","CF"
266,10,"Total","CF"
266,10,"PBE","CF"
267,5,"Total","CF"
267,4,"PBE","CF"
267,1,"MIPBE","CF"
268,10,"Total","CF"
268,10,"PBE","CF"
269,2,"Total","LF"
269,2,"PBE","LF"
270,10,"Total","LF"
270,10,"PBE","LF"
271,10,"PBE","LF"
271,10,"Total","LF"
273,10,"PBE","C"
273,10,"Total","C"
274,6,"Total","C"
274,6,"PBE","C"
275,10,"Total","C"
275,10,"PBE","C"
276,3,"Total","C"
276,3,"PBE","C"
277,2,"MIPBE","C"
277,2,"Total","C"
278,2,"Total","C"
278,2,"MIPBE","C"
279,2,"Total","1B"
279,2,"MIPBE","1B"
280,6,"Total","1B"
280,6,"MIPBE","1B"
281,2,"MIPBE","RF"
281,2,"Total","RF"
282,4,"Total","1B"
282,4,"MIPBE","1B"
283,2,"MIPBE","LF"
283,2,"Total","LF"
284,2,"MIPBE","C"
284,2,"Total","C"
285,2,"MIPBE","RF"
285,2,"Total","RF"
286,2,"Total","CF"
286,2,"MIPBE","CF"
287,2,"MIPBE","3B"
287,2,"Total","3B"
288,2,"Total","2B"
288,2,"MIPBE","2B"
289,2,"Total","2B"
289,2,"MIPBE","2B"
290,6,"MIPBE","C"
290,6,"Total","C"
291,2,"MIPBE","3B"
291,2,"Total","3B"
292,2,"Total","LF"
292,2,"MIPBE","LF"
293,2,"Total","LF"
293,2,"MIPBE","LF"
294,4,"MIPBE","LF"
294,4,"Total","LF"
295,2,"MIPBE","RF"
295,2,"Total","RF"
296,2,"Total","SP"
296,2,"MIPBE","SP"
297,2,"Total","SP"
297,2,"MIPBE","SP"
298,6,"Total","CL"
298,6,"MIPBE","CL"
299,2,"MIPBE","CL"
299,2,"Total","CL"
300,2,"MIPBE","CL"
300,2,"Total","CL"
301,2,"MIPBE","CL"
301,2,"Total","CL"
302,2,"MIPBE","CL"
302,2,"Total","CL"
303,2,"Total","CL"
303,2,"MIPBE","CL"
304,3,"MIPBE","CL"
304,3,"Total","CL"
305,3,"Total","CL"
305,3,"MIPBE","CL"
306,1,"PBE","2B"
306,5,"MIPBE","2B"
